"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,6,0,1,0.705994219041789,0.505963473558762,0.683191338329576
1,6,0.15,0.000999999999999999,0.940237111859145,0.242079493144841,0.34072372309786
1,0.05,0.15,0.372759372031494,0.644641262950287,0.552205971270376,0.742065620940654
1,0.25,0.65,0.0517947467923121,0.743977746330785,0.395654714719846,0.550082482263371
1,6,0,0.0848342898244071,0.8896117459109,0.339815270397971,0.463671756131982
1,8,0,1,0.49570273175173,0.507156335776236,0.762206598644004
1,6,0,0.610540229658533,0.603275283489696,0.531563375045402,0.775719959050396
1,2,0.175,0.0117876863479359,0.857424173795647,0.341594791517973,0.582261515450021
1,8,0.075,0.0517947467923121,0.925476671007255,0.260758424584751,0.369443358598002
1,8,0.4,0.0848342898244071,0.924910982295702,0.269586066048974,0.379381280184641
1,3,0,0.138949549437314,0.891838944390581,0.337861450581063,0.484916854869615
1,8,0.025,0.000999999999999999,0.973185503659129,0.135412864825914,0.233838913527149
1,8,0,1,0.536509276579965,0.613661815897937,0.8168220373228
1,6,0,1,0.831036078541522,0.354747637923142,0.518805593893895
1,8,0.525,0.000999999999999999,0.966088619721591,0.182302911973208,0.263301966749355
1,2,0,0.610540229658533,0.903219790435987,0.326732570891182,0.415390371926377
1,1.5,0,0.372759372031494,0.966536747777763,0.171130101795559,0.282181553911424
1,4,0,1,0.776940734423483,0.456508929007329,0.629692936609574
1,8,0.025,0.227584592607479,0.39984600561017,0.565950215529009,0.770964830070423
1,8,0,0.227584592607479,0.857619761346112,0.366818310661606,0.514049157588323
1,0.1,0.9,0.0316227766016838,0.857833549527179,0.331199171025827,0.49144731861842
1,8,0.675,0.0316227766016838,0.97247779265665,0.140862616890239,0.239609302235932
1,8,0,0.0193069772888325,0.955892096983646,0.186029507560831,0.30077251730727
1,1.5,1,0.0316227766016838,0.727328967771926,0.459992101721916,0.68464659629244
1,1,0.25,1,0.973855533660508,0.158473185019632,0.231169332040742
1,8,0,0.227584592607479,0.883236066411204,0.347600297732933,0.470374176632236
1,0.25,0.6,0.0316227766016838,0.896814933884953,0.318584177818638,0.442084143494018
1,8,0,1,0.67939088641216,0.534466418444531,0.760993668051119
1,6,0,1,0.681476069899552,0.53079583311666,0.754308972572557
1,8,0,1,0.833430535344657,0.287376404195514,0.500000090415242
1,2,0.1,1,0.792745838145807,0.337343496270671,0.625124788790876
1,8,0,0.0848342898244071,0.960116312873628,0.180042236442922,0.280532414985931
1,8,0,0.138949549437314,0.827956518669538,0.350383981041477,0.56248574892265
1,8,0.725,0.0193069772888325,0.680430052020979,0.555596387194081,0.75687959610399
1,8,0,1,0.941800241103454,0.227315728991695,0.33660421084397
1,4,0,1,0.794888263003498,0.389180758169106,0.577022518159786
1,4,0,0.372759372031494,0.837852980508023,0.414942793632315,0.540012769052375
1,4,0,0.0848342898244071,0.793003958085989,0.467308521378741,0.615887095062855
1,6,0,0.372759372031494,0.928399598541416,0.249267473105278,0.380057093761989
1,0.5,0.875,0.0517947467923121,0.924574955108036,0.271765937279857,0.378795179745393
1,8,0,0.372759372031494,0.972873379371289,0.131426550524432,0.230001914323237
1,0.1,0,1,0.846441106488489,0.378552566477651,0.530912091913265
1,6,0.7,0.0517947467923121,0.768796454467615,0.37388505783916,0.567093298100813
1,6,0.05,1,0.819652700304985,0.33961837865548,0.530626043612422
1,4,0,0.610540229658533,0.68330349216451,0.410496638852604,0.681084559717809
1,8,0,1,0.673466027265444,0.519432888535753,0.779946650304041
1,8,0,0.138949549437314,0.866269348297543,0.373527090770032,0.498182891968737
1,8,0,0.138949549437314,0.815281141088059,0.407643975208916,0.576417282333082
1,8,0.075,1,0.87180285407983,0.249366932834963,0.425207681149551
1,8,0,0.138949549437314,0.92742265056206,0.265081173914095,0.383192797429821
1,4,0.1,1,0.875297326414535,0.322664346434108,0.465115478096534
1,8,0,0.0848342898244071,0.674680061178668,0.44703444830268,0.769367418004837
1,0,0.025,0.227584592607479,0.205380754775456,0.550016705085005,1.10324268542877
1,3,0.925,0.0517947467923121,0.767115013581539,0.297274235317041,0.517008661202042
