"10",18,10,3,9,12,50,3,26,26,57,35,39,22,9,33,39,34,26,20,4,7,81,41,51,25,41,24,36,39,27,0,9,0,0,4,41,32,6,0,19,47,63,38,18,14,13,0,0,44,39,35,63,19,2,13,47,15,5,34,24,28,16,6,15,53,9,39,33,65,53,25,20,29,29,31,54,9,7,46,5,22,13,7,0,20,23,17,14,38,63,5,36,11,34,50,17,21,31,50,23,0,4,0,34,25,27,13,8,50,28,3,24.7747747747748
"11",12,17,1,5,12,29,2,0,24,0,12,28,5,0,8,30,38,16,3,15,4,30,30,23,21,0,27,19,48,18,0,8,0,0,0,21,29,7,0,25,19,46,28,16,13,10,0,8,33,40,36,38,17,1,19,24,16,3,29,24,15,9,3,10,41,63,19,17,50,39,30,7,8,5,17,53,8,3,30,11,23,18,29,0,20,13,13,6,3,35,0,15,15,28,46,26,18,36,11,17,15,3,0,17,27,16,15,8,0,16,4,17.2792792792793
"12",15,2,3,11,5,30,1,36,32,44,28,26,66,5,12,33,32,8,3,16,4,47,46,38,5,37,35,51,40,56,44,11,0,58,4,61,44,12,0,29,37,49,14,19,23,9,24,11,19,0,44,40,10,3,15,24,63,6,23,20,23,7,5,27,42,50,28,37,44,59,15,6,22,22,18,59,3,7,45,25,29,22,38,0,30,16,14,12,2,25,3,11,27,23,46,13,23,52,26,27,12,4,0,21,25,25,19,5,40,28,7,23.8918918918919
"13",15,1,3,5,11,22,2,38,24,47,18,26,23,7,14,46,61,19,30,17,4,63,54,64,5,30,31,37,48,62,40,17,0,53,4,23,28,10,0,0,12,36,30,0,32,17,21,8,0,32,55,30,11,2,12,39,0,8,23,25,15,18,4,22,37,45,33,36,58,33,33,5,31,4,20,66,5,4,44,21,29,19,17,0,26,23,16,20,4,28,3,10,43,12,49,38,36,46,18,20,0,7,10,17,38,27,15,8,41,24,1,23.1891891891892
"14",18,13,4,9,11,25,3,43,20,58,13,31,47,4,44,27,26,12,18,6,5,16,46,44,29,31,22,27,44,26,0,14,0,44,0,62,20,13,21,0,18,61,18,0,10,15,30,0,39,22,27,33,9,3,15,19,21,9,16,41,35,12,4,25,39,46,18,31,81,41,18,11,41,12,39,72,6,5,33,16,23,13,6,20,25,29,13,8,6,38,6,10,28,12,51,9,7,59,14,22,21,8,29,14,24,29,27,5,53,17,5,22.6846846846847
"15",19,2,4,8,11,31,2,24,27,58,10,45,28,7,60,31,46,17,3,14,5,30,50,55,31,44,26,43,18,48,39,21,0,44,4,53,28,8,30,30,29,54,21,0,15,19,23,0,41,40,56,23,22,1,12,23,53,26,29,26,22,12,2,34,40,40,3,33,57,41,20,2,39,3,36,60,8,3,55,3,22,39,18,17,32,19,6,24,38,7,0,20,10,0,53,8,20,48,21,29,21,7,0,22,28,21,25,10,49,21,5,24.5045045045045
"16",15,36,4,16,8,36,8,21,20,54,10,49,15,8,20,51,33,8,23,16,12,66,39,47,31,43,18,32,32,26,29,18,0,44,9,42,28,5,0,35,31,60,21,0,53,8,26,0,18,26,29,20,44,2,24,30,27,24,21,27,26,10,3,41,50,49,52,41,44,52,25,42,46,15,36,51,10,8,46,4,19,30,25,15,23,18,9,20,5,39,6,23,21,7,55,35,28,38,20,32,15,9,0,24,26,24,26,11,44,36,2,25.5315315315315
"17",15,20,2,2,4,57,3,21,24,44,12,46,5,6,14,35,26,8,4,16,3,23,34,48,27,53,14,17,24,42,0,15,0,53,5,39,25,4,0,36,25,63,25,13,11,7,23,8,19,23,24,24,14,1,20,22,27,12,15,23,39,2,2,13,49,8,2,28,47,34,29,38,20,4,19,49,4,7,24,4,18,15,26,8,25,19,5,16,6,7,10,9,6,5,52,8,14,16,21,27,12,3,0,26,25,23,25,5,38,18,1,19.2432432432432
"18",23,2,4,36,13,28,21,27,32,42,64,58,10,10,20,38,66,7,8,20,8,21,49,64,34,26,32,19,32,43,0,24,0,56,6,22,40,9,46,45,47,43,28,22,65,21,39,14,25,36,44,49,24,6,24,49,31,11,36,32,54,12,6,24,63,60,43,33,44,16,33,2,25,8,38,64,88,6,58,10,30,38,46,22,36,26,26,15,8,29,4,18,68,20,54,10,20,28,22,34,25,50,0,32,37,28,20,13,35,20,60,29.8378378378378
"19",20,1,3,5,21,19,0,25,27,54,15,46,5,7,20,52,47,8,3,24,5,8,32,53,34,22,17,79,26,37,0,18,0,79,3,49,6,18,47,41,22,37,20,18,19,17,40,13,26,22,33,44,13,13,15,15,41,6,27,19,57,14,3,50,53,2,3,42,36,36,24,1,19,13,28,62,8,16,73,4,18,27,19,23,35,22,5,18,3,13,9,14,27,4,55,7,4,14,12,27,22,18,16,12,45,24,18,11,51,13,2,23.1351351351351
