Sample,Period,Clostridium_sensu_stricto_6,Propioniciclava,Streptococcus,Anaerolineae_SJA_15,Clostridium_sensu_stricto_12,Clostridium_sensu_stricto_3,Ornatilinea,Anaerolineae_SBR1031,uncultured_Ardenticatenales,Bacteroidetes_vadinHA17,Syntrophobacter,Smithella,Syntrophorhabdus,Syntrophomonadaceae,Syntrophomonas,Syntrophus,Methanosaeta,Methanolinea,Methanobacterium,Micrarchaeales,Candidatus_Methanofastidiosum,Methanomethylovorans,Methanospirillum,Methanomassiliicoccus
90,Stage3,1.47697183,40.2304193,0.079172202,10.80564602,4.335362787,4.561959191,1.430560529,1.307707026,0.843593917,1.272216025,1.668077233,0.546015511,0.125583603,0.027300801,0.073712101,0.00819,4.01594378,0.647028313,0.313958906,0.292118306,0.133773803,0.051871501,0.106473002,0.038221101
91,Stage3,1.11141728,40.19166518,0.073482099,10.44364821,3.857812031,4.546707018,1.500260173,1.301246077,0.949144183,1.325740176,2.029943963,0.661339188,0.205137596,0,0.094914398,0.030617599,4.271149023,0.817488685,0.293928495,0.275557995,0.153087797,0.033679299,0.113284998,0.039802799
92,Stage3,1.092828823,38.56697866,0.067915908,11.05177165,4.142870868,4.374402394,1.438582563,1.173093133,0.8829069,1.305837848,1.633069085,0.592720667,0.142006016,0.033958004,0.080264309,0.012348301,4.352792792,0.784120089,0.290186233,0.35501504,0.117309313,0.027783803,0.080264309,0.015435402
93,Stage3,1.064290594,38.60219027,0.0495019,11.03892083,4.448982073,4.476826873,1.280861292,1.039539594,0.931254294,1.262298092,1.559309391,0.637336796,0.142317899,0,0.089722199,0.0154693,3.576511379,0.708495796,0.256790998,0.228946199,0.099003799,0.0309387,0.114473099,0.0247509
94,Stage3,0.890480967,38.67125067,0.057209711,10.77034252,3.907669335,4.651395074,1.484964079,1.303385545,0.907892571,1.176529321,1.634206707,0.604432614,0.146755228,0.022386404,0.166654231,0.027361105,3.524613263,0.656667523,0.345745365,0.276098852,0.111931921,0.047260209,0.126856224,0.042285408
95,Stage3,0.833561075,37.25061378,0.051926798,11.58513215,4.307187671,4.67067486,1.500409855,0.98387537,0.910084673,1.254441062,1.623394351,0.642251981,0.068324698,0,0.106586497,0,3.68133359,0.746105478,0.303361591,0.256900792,0.128450396,0.021863899,0.114785497,0.079256598
96,Stage3,0.810019199,37.43228655,0.077407938,11.44532244,4.368021653,4.544954141,1.437576709,1.080947133,0.857016923,1.133473959,1.658742418,0.66902613,0.152051375,0.04146852,0.110582855,0.016587408,3.593941872,0.580559786,0.309631953,0.257105027,0.154815976,0.022116611,0.088466244,0.044233122
97,Stage3,0.906839626,39.31149618,0.045341996,11.76101194,4.258658251,3.972654974,1.349795889,1.109134609,0.868473329,1.077744012,1.293990294,0.652226947,0.146489488,0.041854097,0.048829796,0,3.41111202,0.554567255,0.226709881,0.216246382,0.090683993,0.038366297,0.104635291,0.041854097
98,Stage3,0.660623601,40.22484335,0.078824412,11.7410824,4.05382642,4.44607168,1.452621122,1.161721578,0.799504622,1.223654987,1.490156528,0.739448013,0.120113418,0.013137402,0.099468915,0,3.160483184,0.681268004,0.360340155,0.245857038,0.116359818,0.033781905,0.110729517,0.048796107
99,Stage3,0.581299571,40.41547569,0.071629346,12.08056311,4.082872205,4.168276359,1.42707681,1.236983589,0.746598076,1.157089238,1.352692463,0.685988638,0.09366916,0.002750002,0.118463876,0,3.220565155,0.738333171,0.286517383,0.212133035,0.107443969,0.024794816,0.096424062,0.041324626
100,Stage3,0.728102311,41.73307719,0.06249801,12.09962375,4.37798887,4.240493149,1.253085992,1.034342858,0.78747552,1.062466963,1.281210196,0.52185878,0.13124592,0,0.103121816,0,3.084279072,0.662479401,0.315615148,0.243742437,0.06562291,0.046873507,0.071872811,0.024999204
101,Stage3,0.724929509,41.51564024,0.063766901,12.54866446,4.63820656,4.383138757,1.278695117,1.114243514,0.77191571,1.134380515,1.261914416,0.630957208,0.097328501,0.0268492,0.171163902,0,2.637938034,0.594039508,0.359108605,0.208081603,0.083903901,0.0369177,0.114109301,0.0369177
102,Stage3,0.757575448,41.21934167,0.056882774,12.21170183,4.951388703,4.509254308,1.416898743,1.116971282,0.871340996,1.116971282,1.241079124,0.584341429,0.113765547,0.015513493,0.142207034,0,2.963076525,0.483503776,0.328368848,0.178405117,0.062053971,0.023270189,0.08532416,0.049126077
103,Stage3,0.75934589,38.01340829,0.095302511,12.38625326,5.758116779,5.475283446,1.650885595,0.974545115,0.873094003,1.057550525,1.512543178,0.808534295,0.153713718,0.030742704,0.153713718,0.015371402,2.238072064,0.42732425,0.430398451,0.215199225,0.098376812,0.024594203,0.110673913,0.033817004
104,Stage3,0.787034361,37.77764724,0.152429531,12.78230832,6.028745136,4.983513722,1.508741709,0.930131491,0.824363969,1.101225926,1.284763563,0.808809966,0.09643502,0,0.161762033,0,2.280221967,0.516394106,0.357742873,0.183537638,0.093324219,0.031108106,0.093324219,0
105,Stage3,0.60228459,37.97063316,0.118676818,13.34520299,6.005044695,4.782673913,1.60807024,0.878208131,1.011719451,1.014686351,1.21050308,0.756564413,0.121643718,0.023735404,0.169114425,0,2.029372802,0.445037866,0.33229495,0.13351132,0.115709817,0,0.115709817,0.023735404
106,Stage3,0.671721248,36.29889336,0.118199873,13.6506441,6.593246703,4.58096586,1.770115198,0.890823498,0.934067288,0.870643002,1.14740364,0.812984515,0.112434074,0,0.164326663,0,2.170841607,0.423789804,0.380545914,0.187390057,0.123965772,0.017297496,0.080721882,0.028829193
107,Stage3,0.453632004,36.58341351,0.12919903,13.0548408,6.724089947,4.846397915,1.745622001,1.04220524,0.801033784,1.013494333,1.108240255,0.677576956,0.114843526,0,0.143554433,0.005740001,2.446167663,0.488085112,0.333046277,0.13207013,0.08900372,0.025839806,0.094745922,0.04306631
108,Stage3,0.57608606,35.30584586,0.119464854,13.20750307,7.773179713,4.568866865,1.590209919,0.966337937,0.788468056,1.064564581,1.109695702,0.844218282,0.079643236,0,0.124774356,0,2.306999043,0.456621206,0.358394562,0.151322168,0.053095524,0.015928607,0.08760754,0.04513112
109,Stage3,0.627223565,33.80771753,0.102703278,13.039648,8.751786218,5.091148105,1.569892962,0.825294223,0.729926843,1.166415749,1.140739955,0.825294223,0.099035279,0,0.168726764,0,2.127424943,0.37046542,0.32644973,0.161390865,0.069691485,0.018339896,0.106371277,0
110,Stage3,0.90963142,34.14616404,0.423328516,13.16516549,7.945280627,4.548157099,1.560367791,1.158030771,0.839659734,1.133540676,1.140537874,0.836161234,0.125948975,0.024490095,0.146940471,0,2.361543132,0.517790197,0.374348326,0.192422062,0.062974488,0.034985793,0.122450376,0.045481591
