,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Spirochaetota;c__Leptospirae,0.138975292,0.121236507,0.064429492,0.0770493,0.044337503,0.070152086,0.063261598,0.023819257,0.036052311,0.02778913,0.064856602,0.022680096,0.050041237,0.030420699,0.065123449,0.077688498,0.072520601,0.130768724,0.148891457,0.079102191,0.095580203,0.074508715,0.045324091,0.019609171,0,0,0,0.076694452,0.045448819,0.069755866,0.056192088,0.029470733,0,0.063597396,0.038269332,0.047012636,0.045343916,0.027110897,0.042375016,0.03420676,0.040631525,0.03560216,0.021568217,0.021083097,0,0.042547257,0.079617804,0.037185111,0.080527046,0.031897767,0.060304106,0,0.044330557,0.0640054,0.040933264,0.067750465,0.099553429,0.014331155,0.057331728,0.079577584,0.062417896,0.046280648,0.045556503,0.047700705,0.016843824,0.033290988,0.028503124,0.0413394,0.089343996,0.187435456,0.109961127,0.07823048,0.108655072,0.117644171,0.099602937,0.078740223,0.098453819,0.098743363,0.095308435,0.079036135,0.143522496,0.105304746,0.095814912,0.084014802,0.088840518,0.104448895,0.072507353,0.073711871,0.0704204,0.074090085,0.077347019,0.072133811,0.098387973,0.113346988,0.0767326,0.082578153,0.126728713,0.074997718,0.083903901,0.118937137,0.079933142,0.111989065,0.097908302,0.083604733,0.063163949,0.082298063,0.135714722,0.069974987
d__Bacteria;p__Bacteroidota;c__Bacteroidia,1.293074521,1.073386763,0.950335477,0.844192799,0.905751271,0.890626364,1.022174874,1.095687924,1.078564216,1.022021381,0.875563833,1.0141263,1.086189399,1.095145956,1.317270583,1.39540436,1.447821407,1.47042207,1.576307399,1.144157432,1.080346365,1.10490935,0.96389161,1.34976627,1.141471251,1.207969477,1.283802445,1.34854355,1.249842731,1.37850792,1.250274827,1.0579995,1.048771035,1.789022382,1.722118146,1.5960778,1.716592224,1.927884757,1.493095954,1.151625873,1.08834526,1.048644319,0.927434142,0.993915863,1.168781731,1.171466564,1.543893776,1.428527626,1.742312124,1.504995939,1.685339974,1.564748928,1.124095049,1.249789502,1.180241874,1.470184601,1.576798093,1.592547431,1.426548706,1.235043902,1.363441374,1.301303847,1.450799106,1.736306445,1.90335655,1.761393987,1.7418551,1.710814991,1.522284438,2.113495932,1.738760878,1.749232896,1.654660951,1.771021411,1.767148747,1.653543783,1.983740235,1.696061714,1.657136413,1.583448095,1.584604954,1.571673693,1.632276099,1.694298237,1.611821568,1.729934314,1.554178787,1.941078867,2.051376308,2.14861196,2.227594096,2.002335635,2.120808201,1.979426143,1.848557804,1.976246151,1.738387976,1.540577279,1.617666815,1.634092936,1.509507356,1.577180008,1.507194832,1.33767583,1.65374807,1.659234571,1.749619122,1.609423812
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,2.084629486,1.564246757,1.259060238,1.135640299,1.041930681,0.969928774,0.839049079,0.758814917,0.694006503,0.821322242,0.636773724,0.806765041,0.688803007,1.240489373,1.358712714,1.38644036,1.460771597,1.153671043,1.097265317,1.059404977,1.068760952,1.190321737,1.214684761,1.460005268,0.630557773,1.059732946,0.851792694,0.706227755,0.760005323,3.903004176,0.586058278,0.568785245,0.757782498,0.655329657,0.682959643,0.68638394,0.812952196,0.599451724,0.717882466,0.57011186,0.699443224,0.433698612,0.503258836,0.415637543,0.421867975,0.365905988,0.380780919,0.30367829,0.361151556,0.374074144,0.450693546,0.311750745,0.202653761,0.1583291,0.238777293,0.491190697,0.34361991,0.779255531,0.762174977,0.579324665,0.516996653,0.574424959,0.40650413,0.715510876,0.626966006,0.792929924,0.67457303,0.998505395,0.824713866,0.607549282,0.663203225,0.497545617,0.583632712,0.693146632,0.616895562,0.724409612,0.557206889,0.699915862,0.654860942,0.708599821,0.749831578,0.858233878,0.639906978,0.775736517,0.726588875,0.753990262,0.73768326,0.679787087,0.731759603,0.728552351,0.875568214,0.786010032,1.057671087,1.150057629,0.781277202,0.913990399,1.099234211,0.821849502,1.043764309,0.848073606,0.77166261,0.78081295,0.913811019,0.758208493,0.812518524,0.974302546,0.80695225,1.133594157
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,0.148038911,0.103494608,0.120805384,0.1004991,0.12667851,0.085402527,0.089898098,0.119096485,0.168244049,0.154383922,0.135609205,0.097200581,0.088308065,0.094642285,0.112485984,0.152388896,0.170941382,0.188888213,0.181259169,0.132778745,0.150611262,0.092681569,0.063453687,0.058827612,0,0.02523172,0.024453414,0.086281246,0.078272933,0.079720961,0.112384275,0.07957099,0.066684909,0.060832296,0.091257554,0.032908865,0,0.048197094,0.057330921,0.03420676,0.037729323,0.022655874,0.053920543,0.054213593,0.048411097,0.150333501,0.21116031,0.195221758,0.139092106,0.124691381,0.10156471,0.161870575,0.123492159,0.1179047,0.180788443,0.237126578,0.211952536,0.249003494,0.266423932,0.305577889,0.273078332,0.332131929,0.367956327,0.817272474,2.732448948,1.246897466,0.665071989,0.508792597,0.48795568,0.458893637,0.44671723,0.438090528,0.34769609,0.403805589,0.427328707,0.456693033,0.44408971,0.32817633,0.310520915,0.31614454,0.35734159,0.418586485,0.321664439,0.571300513,0.64409403,0.721349964,0.819648034,0.887272342,0.976700004,1.065044682,1.144735825,1.074545377,1.243515181,1.078179027,0.976596602,0.838919269,0.906386092,0.821849502,0.775271807,0.723965254,0.740919025,0.839918384,0.860406518,0.905237576,0.892909086,0.892004483,0.938998982,1.028631726
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.021148444,0,0.018791898,0.0267998,0,0,0.026636499,0.010208224,0,0.018526087,0,0,0.026492419,0.030420699,0.023681318,0.029880199,0.028490197,0.055213479,0.009710004,0.042376227,0.055031059,0.047249382,0.030215994,0.12745976,0,0.01576985,0,0.025564784,0.007570003,0.332170536,0.026089194,0.00884001,0.042435805,0.041476597,0.002940018,0.030558153,0.058299363,0.069283391,0.014955906,0.03420676,0,0.003239996,0,0.027106796,0.020747599,0,0.096926105,0,0.02928258,0.017398828,0.044434605,0.032973615,0.028498137,0.0303183,0.040933264,0.044037747,0,0.042993365,0.094428747,0.076394472,0.046813397,0.065337427,0.059573904,0.073141154,0.11790707,0.099872865,0.139348372,0.244856399,0.216487391,0.235910071,0.240540016,0.237820555,0.248354407,0.302059336,0.379133709,0.321259894,0.391720623,0.383356392,0.461169671,0.558703734,0.541870484,0.56601315,0.622797176,0.711325216,0.77418207,0.773574361,0.86063042,0.761689233,0.915464904,0.848948626,0.850817212,0.701439337,0.901890138,0.962067448,0.913815402,1.020966626,1.151578716,0.97496974,1.181366611,1.083362273,0.919231579,1.014123684,0.925678719,0.957130134,1.036463596,0.955719132,0.891315415,0.885183087
d__Bacteria;p__Actinobacteriota;c__Actinobacteria,6.752386807,5.849966556,5.527516087,4.723459895,4.766278572,4.379929924,5.310647767,5.400176233,5.413851686,5.202737039,4.380767266,3.576982195,3.64123668,3.396980398,3.777162218,3.755938591,3.869490646,4.21075406,5.279173406,3.367495313,3.377168641,3.042135328,2.254116456,2.372712661,1.61681483,2.002769161,1.82789016,2.268876571,2.484535856,2.534461451,2.528645749,2.419547744,2.215756086,5.123738062,4.927907393,4.285198477,3.750592058,5.886073258,5.304354168,4.156115292,4.794523405,4.783630614,5.266244077,6.210468343,8.101939422,7.678353751,9.876073584,10.12984092,11.256703,11.48900541,13.13993855,13.7739872,12.8811793,15.71837633,15.24763305,18.00468006,20.35707345,22.25087964,22.80117139,23.58042524,24.3312838,27.41994178,26.20199241,25.0269807,24.38429934,26.50565028,28.52842009,28.91213776,30.31854456,29.68912468,32.32514571,34.4464316,34.85653414,36.2820914,35.53896838,36.40945943,36.34203662,39.26789348,41.23471976,41.93820967,41.60979349,42.34831408,41.03617511,40.41671419,41.00309175,41.20507674,42.70681462,41.3769224,41.35513317,39.54865979,39.50576298,39.57411238,38.18821319,38.5186376,40.17648498,41.14458108,41.34112488,42.58617968,42.34125428,42.10892076,38.84752444,38.5398094,38.80433251,37.18681255,37.36149869,36.18989712,34.58890697,34.952487
d__Bacteria;p__Desulfobacterota;c__Syntrophia,2.830866356,2.52231098,1.892617156,1.651535998,1.418799211,1.369490635,1.265232668,1.224992734,0.949376878,1.102300957,0.843135532,0.758164751,1.042035367,1.226969018,1.598485592,1.577673454,2.022805982,2.167855433,2.586179983,1.387114267,1.32653793,1.113995827,0.688925664,0.705931047,0.643492272,0.656025224,0.456463065,1.33256556,1.040273142,1.043015586,1.452967883,1.140517593,0.7790004,1.324484913,1.077427836,0.759253505,0.793519075,1.253125142,0.974625262,0.860868917,1.085442958,0.867397123,0.787240629,0.816215787,0.888689048,0.856617244,1.163112757,1.0070965,1.190823996,1.043927757,1.345732839,1.261990987,0.801115633,1.290213903,0.996042234,1.175470223,1.172161487,1.067669652,0.991501891,0.904001222,0.788026199,0.969171918,0.988225472,0.96991477,0.971329404,0.94727887,1.010276022,0.988965595,1.034328658,1.512409952,1.642544891,1.567738214,1.59567672,1.424448046,1.786426787,1.637795778,1.778453491,1.643785792,1.448072836,1.488059694,1.663688752,1.3610642,1.584368693,1.618684936,1.545191154,1.488396326,1.585703654,1.575249704,1.858485707,1.589849374,1.571691388,1.572020065,1.59880519,1.479040522,1.506749003,1.634672705,1.443605846,1.384332041,1.332393612,1.243668828,1.629407118,1.524296278,1.453790231,1.432812254,1.329314821,1.55304359,1.536877215,1.532451396
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,0.090636091,0.07688166,0.091275188,0.2009983,0.072840106,0.036601097,0.026636499,0.006810016,0.015021804,0.02778913,0.082544703,0.330482035,0.344401553,0.398849473,0.213131459,0.104580597,0.137000947,0.113000367,0.152128258,0.279682899,0.246191565,0.236247112,0.329354835,0.169946313,0.051738098,0.179776131,0.195627013,0.169366893,0.277742818,0.322205441,0.383310616,0.580573558,0.321299741,0.254389583,0.108920261,0.082272012,0.06153825,0.102418887,0.059823522,0.03420676,0.06675184,0.029128967,0.035947095,0,0,0,0,0.015493805,0.012201092,0.008699964,0,0.014988007,0,0,0,0,0,0.005369758,0.006740003,0.022281679,0,0,0,0.015900268,0.005610008,0.015132295,0.038004065,0.0604191,0.027490499,0.06786452,0.041235423,0.031292152,0.058984131,0.111285024,0.051407938,0.037795311,0.04399898,0.020329481,0.024595709,0.035430026,0.029290299,0.031591414,0.020531803,0.030805401,0.031728764,0.071808596,0.034677373,0.076441962,0.0398028,0.123483475,0.086600357,0.099494978,0.065592015,0.102288818,0.111611,0.095715593,0.104689011,0.093747123,0.097300001,0.074982113,0.098379313,0.118210768,0.127577503,0.155677775,0.175136535,0.191143846,0.190734168,0.230917349
d__Bacteria;p__Planctomycetota;c__Planctomycetes,1.356519754,1.191666287,0.985234773,0.800643199,0.63655945,0.603917903,0.552706886,0.530830171,0.534775557,0.469326996,0.400931615,0.369362327,0.494525264,0.70643675,0.704517726,0.732064379,1.082628583,1.005466462,1.217025862,0.689319561,0.677750831,0.512474424,0.438132514,0.395452127,0.135812394,0.220777701,0.248609344,0.594381726,0.568110341,0.431821787,0.590017371,0.601203082,0.345548845,0.60832296,0.597589725,0.441918415,0.459917131,0.656685717,0.498529485,0.25084917,0.658811599,0.362494292,0.373849432,0.43370874,0.452989373,0.425472168,0.661174232,0.539183961,0.65153686,0.550961908,0.615736263,0.605515882,0.471803308,0.623210401,0.620820861,0.586041368,0.677605737,0.519503721,0.559827577,0.487014736,0.415469211,0.615260813,0.494112736,0.426126452,0.47724279,0.453967542,0.532057611,0.429293698,0.357375985,0.675413902,0.680384726,0.585163742,0.720227652,0.693146632,0.67151654,0.623622182,0.517406411,0.679586381,0.694829057,0.651366741,0.67367678,0.629195977,0.530404165,0.431275909,0.475931553,0.538564473,0.64310846,0.518713088,0.535807202,0.552588387,0.621870067,0.554684317,0.475542087,0.497621128,0.397614301,0.435412233,0.542729655,0.490609821,0.449724804,0.480919764,0.448855565,0.311080879,0.326361107,0.441087047,0.347401967,0.35308507,0.289769192,0.237914777
d__Bacteria;p__Fermentibacterota;c__Fermentibacteria,0.075530059,0.065053728,0.069798691,0.0502496,0.044337503,0.024400765,0.0133182,0.010208224,0.024034907,0.012350758,0.047168402,0,0.011774409,0,0.035521926,0.071712398,0.028490197,0.026153785,0.064735425,0.042376227,0.017378219,0.023624741,0,0.003270012,0,0.01261586,0,0.019173588,0.040398917,0,0.026089194,0.023576627,0.015155602,0.019355699,0.008830054,0.018804994,0,0.051209394,0.032404412,0,0.034827021,0.025892471,0.025162987,0.015059298,0.017289699,0.02269183,0,0.030987609,0.024402084,0.034797555,0.025391203,0.047961622,0.018998824,0.0134748,0.017055485,0.044037747,0.038536834,0.025079471,0.047214423,0.031831013,0.009749937,0.040835854,0.052565204,0.022260356,0.009360014,0.021185193,0,0,0.041235698,0.06786452,0.034362902,0.062584404,0.040357552,0.041334406,0.051407938,0.053543316,0.027231869,0.040659061,0.05534032,0.059958475,0.058580598,0.052652423,0.037641605,0.033605901,0.028555877,0.026112199,0.02837246,0.043681064,0.0336793,0.021609596,0.024751002,0.069646414,0.030063045,0.049762063,0.0313906,0.030028392,0.024794803,0.024999206,0.0469862,0.023270266,0.024594828,0.040440523,0.029669201,0,0.022968718,0.037166828,0.025675728,0.007000329
d__Bacteria;p__Synergistota;c__Synergistia,0.16616615,0.16263437,0.118120785,0.1272989,0.107676708,0.137254064,0.129852797,0.214373713,0.20429626,0.185260667,0.150349306,0.123120776,0.144236506,0.118302806,0.186489939,0.158364995,0.14763112,0.165640437,0.2621784,0.152554318,0.118751228,0.159921102,0.108777779,0.12745976,0.071139897,0.08831112,0.063171237,0.092672442,0.136346458,0.106294548,0.128439172,0.13261835,0.093965012,0.276510382,0.306154357,0.223309819,0.239675126,0.361478354,0.2692059,0.233745891,0.281518671,0.265397601,0.197708825,0.225889969,0.293924383,0.26946566,0.40501252,0.281986984,0.402635128,0.414671275,0.498302051,0.548561455,0.32614592,0.596260701,0.501432264,0.64024168,0.722565359,0.682520385,0.687980941,0.70983193,0.69830048,0.745935667,0.728903853,0.674170258,0.567076719,0.653713273,0.684073971,0.728209396,0.694134172,0.678645503,0.683820986,0.804209006,0.655034628,0.613657343,0.632960561,0.655118291,0.563491143,0.697011622,0.664084346,0.659542924,0.629741382,0.721337718,0.698080385,0.694522215,0.659958462,0.678917566,0.693548367,0.758959141,0.701142003,0.580372181,0.652808795,0.67407817,0.576663074,0.539089514,0.694081101,0.628720325,0.655683566,0.753101685,0.765203407,0.723965254,0.713249918,0.687488696,0.631953713,0.585233232,0.683319525,0.698205935,0.623553962,0.745233212
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,0.042296789,0.053225796,0.067114091,0.0234498,0.053838404,0.051851538,0.0166478,0.017013741,0,0.030876744,0,0,0.032379624,0.02704061,0.035521926,0.032868199,0.054390476,0.037777623,0.07768253,0.048026391,0.063720169,0.025442037,0.018129596,0,0.0097,0.00630998,0,0.009589994,0.005050002,0,0.018061796,0.005890007,0,0,0.044156868,0.011753159,0,0.033135496,0.019941207,0.00855004,0.037729323,0.032365564,0.014378778,0.009039999,0.038037298,0.02269183,0.00346,0.021691306,0.017081488,0.017398828,0.019043402,0.053956825,0,0.0202122,0.027288876,0.016937641,0.02890265,0.017913894,0.006740003,0.025464791,0.005849962,0.019056779,0.024530402,0.038160624,0.031816146,0.042370285,0.012667988,0.0127198,0.017181499,0.080791124,0.058416824,0.065713619,0.021730974,0.022256965,0.048194999,0.028346508,0.02932672,0,0.043042516,0.024528449,0.067367698,0.050019722,0.027375703,0.0196035,0.038074536,0.013056099,0.025219953,0.038220981,0.0459263,0.030870894,0.018563277,0.027361066,0.019130992,0.041468386,0.0348784,0.018767757,0.035814604,0.031249008,0,0.025855873,0.015371793,0.03421892,0.032636101,0.031712175,0,0.034512126,0.011003869,0
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,0.123869261,0.07688166,0.08053689,0.0468996,0.069673205,0.033550989,0.043284299,0.051041322,0.03304791,0.030876744,0.032428301,0.025920195,0.055928441,0.02699991,0.07990006,0.059760398,0.059570512,0.061025398,0.084156032,0.0932276,0.055031059,0.038199905,0.021151196,0.045754765,0,0,0,0.038347176,0.030299213,0.023251989,0.03610359,0.05304736,0.033300004,0.055299996,0.020606525,0.018800094,0.032388568,0.057234093,0.024926509,0.048459526,0.011609007,0.016182782,0,0,0.027663498,0.02269183,0.020769901,0.015493805,0.021961885,0,0.031739003,0,0,0.0134748,0.020466582,0.016937641,0,0.026870891,0,0.035014125,0.013653912,0,0,0.022260356,0.016843824,0.006049998,0,0.0158998,0,0.029084809,0,0.015646076,0,0.015897818,0,0,0.012568609,0.020329481,0.012297905,0.008179983,0,0.02369361,0.006840001,0,0,0,0.022067447,0.021840532,0.0183705,0.021609596,0.021657189,0,0,0.022116539,0,0,0,0,0.00671,0.010342329,0,0,0,0,0,0,0,0
d__Bacteria;__;__,0.063445233,0.068010711,0.07785229,0,0.028502702,0.067101978,0.026636499,0.023800057,0.024034907,0.02778913,0.056012502,0.04860029,0.088308065,0.074361753,0.097685273,0.137448796,0.121730941,0.177264275,0.148891457,0.14125399,0.055031059,0.079960501,0.042302492,0.042486553,0,0,0.036680021,0.044738372,0.053023623,0.066434067,0.098336179,0.047153153,0.081840511,0.060832296,0.097145089,0.063467018,0.058299363,0.08133269,0.069794126,0.031356146,0.101578862,0.038838656,0.071894091,0.057225492,0.058784897,0.093603825,0.19731381,0.16733295,0.23670064,0.162388724,0.266607427,0.299760339,0.291314776,0.299814701,0.347932598,0.301489454,0.346831304,0.256169072,0.28328624,0.257831319,0.243998421,0.217791457,0.185730314,0.184442833,0.165000238,0.096846366,0.136181425,0.136737999,0.158070194,0.261763278,0.192432073,0.194011542,0.180056888,0.146260283,0.134945876,0.13543314,0.232518612,0.212007727,0.347414529,0.337947595,0.275328792,0.265894517,0.232693428,0.285650306,0.184026909,0.172993391,0.258504347,0.212945338,0.162273001,0.200660559,0.114473573,0.238787906,0.068325029,0.248810514,0.1395138,0.15014216,0.159788416,0.199993849,0.161095401,0.230117553,0.31358401,0.239532238,0.148345903,0.227750818,0.19523415,0.16990563,0.16139045,0.181934847
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,0.271955564,0.195161184,0.144966381,0.1239489,0.104509808,0.115903408,0.023306899,0.020416549,0.108156832,0.067928918,0.029480301,0.04860029,0.085364463,0.037180876,0.133207099,0.131472796,0.170941382,0.139486652,0.148891457,0.056501636,0.112958522,0.059999851,0.003019999,0.075168571,0,0.00314999,0.014264508,0.07989005,0.095947541,0.089686056,0.104356777,0.082518094,0.009090001,0.14655049,0.04121305,0.084622724,0.022672008,0.153628281,0.067301525,0.031356146,0.159623997,0.051784942,0.068299421,0.036142395,0.086448395,0.042547257,0.065771303,0.089864027,0.078086847,0.057995959,0.044434605,0.065947231,0.050663465,0.1111673,0.075044235,0.114999601,0.105976218,0.05732452,0.077566438,0.003180011,0.048763984,0.02722397,0.056069504,0.050880799,0.031816146,0.030299989,0.041171112,0.0731389,0.030926799,0.038779712,0.041235423,0.093876556,0.058984131,0.114464547,0.057833918,0.081900024,0.052369087,0.145210805,0.058400022,0.035430026,0.090799897,0.073713333,0.041063505,0.081214302,0.006349973,0.055488497,0.07565986,0.049141247,0.0581734,0.033957993,0.083500345,0.059696927,0.027330031,0.033199908,0.0139514,0.028151686,0,0.018749405,0.0402739,0.025855873,0.036892242,0,0.056371501,0.060541352,0.011484409,0,0.029343718,0.027990015
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata,0.138975292,0.097580642,0.110067086,0.0703494,0.044337503,0.054901646,0.046613799,0.078263387,0.051074115,0.052490546,0.061908602,0.025920195,0.050041237,0.070981664,0.044402333,0.059760398,0.108780852,0.107520949,0.126234048,0.045201309,0.060823766,0.049066678,0.039280892,0,0,0.0315397,0.028528917,0.04793397,0.042923918,0.023251989,0.064219586,0.06188857,0.048498106,0.052536997,0.052988221,0.035259477,0.029149682,0.051209394,0.062316223,0.051310039,0.046436028,0.022655874,0.039541765,0.021083097,0.055326897,0.031201242,0.058848003,0.061975118,0.070766152,0.063795635,0.088869109,0.074940035,0.088661014,0.0404245,0.075044235,0.023712618,0.067439384,0.066281517,0.070821535,0.050929682,0.048763984,0.054447839,0.038547803,0.057240886,0.061760789,0.024211592,0.044338159,0.0317995,0.037799398,0.084022825,0.082470846,0.08448891,0.058984131,0.076309765,0.035342939,0.088189026,0.07122195,0.092934883,0.070712726,0.084486924,0.058580598,0.052652423,0.047907506,0.056009901,0.041247423,0.048960398,0.06620234,0.049141247,0.0949144,0.061741687,0.068065381,0.042285348,0.079256981,0.044232978,0.0418541,0.048796249,0.049589505,0.062498015,0.0369177,0.049126239,0.033817864,0,0.0237354,0.028829177,0.043066333,0.045131135,0,0.045483737
d__Bacteria;p__WPS-2;c__WPS-2,0.009068518,0,0,0,0,0,0,0,0,0,0,0,0.011774409,0,0,0.017928099,0,0,0,0,0,0,0.012086398,0,0,0.00630998,0,0,0,0,0,0,0,0,0,0,0,0,0.012463205,0.00855004,0,0,0.017973548,0.018071198,0.020747599,0.017018923,0,0.021691306,0.051244465,0.043497019,0.142825415,0.173860981,0.161489708,0.316658201,0.474143388,0.450540438,0.333985727,0.209592868,0.094428747,0.082760695,0.062417896,0.073504618,0.028034802,0.047700705,0.076733111,0.072634775,0.057006148,0.0317995,0.068726197,0.090486027,0.099652347,0.137685569,0.201787962,0.228929195,0.247400873,0.330708797,0.590723012,0.670873661,0.556478106,0.179875325,0.041006399,0.039489317,0.047907506,0.053209401,0.019037218,0.016320099,0.059897327,0.05460133,0.0520498,0.114222177,0.083534745,0.124368647,0.117518965,0.23222316,0.376687201,0.290900391,0.410490941,0.28436617,0.281917003,0.191333643,0.08300752,0.08710265,0.083073702,0.072073042,0.063163949,0.053095541,0.055019447,0.024491251
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,0.015106032,0.008869949,0.010738299,0.0334997,0,0,0,0,0,0,0,0,0.008830006,0,0.035500026,0.056772298,0.036260251,0.075555245,0.055025121,0.0310759,0.008690009,0.005449986,0.012086398,0,0,0.01576985,0.016302209,0.03195598,0.032824114,0.023251989,0.048164689,0.02652363,0.021217903,0,0,0,0.012955447,0,0,0,0,0,0.007190339,0.021083097,0,0,0,0.015493805,0,0.011599152,0,0,0,0,0.010233291,0.013550053,0.016056972,0.071655675,0.067449133,0.11777482,0.130687554,0.092561397,0.157695512,0.273484156,0.224584825,0.211851526,0.253360767,0.295735699,0.271468289,0.365175909,0.192432073,0.265983492,0.307338538,0.31477763,0.34057773,0.337007998,0.425236847,0.206199247,0.295148609,0.340672989,0.287044892,0.313281738,0.314820538,0.515290711,0.475931553,0.60058097,0.381451607,0.461381666,0.428645802,0.509369196,0.430049375,0.447727249,0.379887027,0.45338815,0.411565701,0.240227436,0.39120614,0.340614484,0.258423902,0.302514058,0.264394353,0.339078195,0.317460307,0.325770239,0.307206636,0.289370522,0.344788639,0.234416113
d__Bacteria;p__Armatimonadota;c__uncultured,0.075530059,0.041397863,0.051006693,0.0502496,0.044337503,0.033550989,0,0.027222065,0.039056611,0.02778913,0,0.019440096,0.038266828,0.020280433,0.017760913,0.026892199,0.036260251,0.058119489,0.058261922,0.033900982,0.026067328,0.03634571,0,0,0,0,0,0.035151578,0.027774312,0.033217084,0.020068596,0.023576627,0.00303,0.041476597,0.047100686,0.02585693,0.022672008,0.024098597,0.034897113,0.011402253,0.020315812,0.012946185,0,0.021083097,0.020747599,0,0.024231501,0.037185111,0.021961885,0,0.038086804,0.044964021,0.037997549,0.0202122,0.037522167,0.0575879,0.022479761,0.035827888,0.026979613,0.019098568,0.039011147,0.032668764,0.049060804,0.050880799,0.009360014,0.018158694,0.031670071,0.0540592,0.013745199,0.051706315,0,0.015646076,0.03414876,0.031795735,0.019277939,0.062992118,0.048179584,0.055180062,0.058414822,0.032704632,0.041006399,0.018428308,0.051329406,0.011202,0.015864432,0.052224397,0.01891494,0.021840532,0.0459263,0.033957993,0.052596017,0.039799951,0.027330031,0.022116539,0.0348784,0.022521369,0.033059703,0.015624504,0.0134246,0.043955025,0.018446071,0.027997316,0.047470701,0,0,0.034512126,0.044015577,0.024491251
d__Bacteria;p__Firmicutes;c__Bacilli,15.56523335,22.08574514,29.35033181,36.13614276,42.41829571,44.55572125,38.68282513,33.07820632,35.1539836,37.57086276,36.99183541,38.23547717,31.47888807,28.52111521,23.36157093,16.29664993,13.57170741,11.88252145,9.910992566,11.5065508,12.894644,11.42890645,10.03172482,11.42889284,13.08973264,16.69710225,18.99416262,18.32357516,19.00770908,12.53279572,10.02427411,10.89533246,12.70043514,14.76842153,17.38309045,19.76879828,21.93351406,19.79094251,24.31577752,27.818607,26.30312714,31.05476003,34.26114139,33.16366022,32.39046799,33.43927314,28.72473141,30.72418876,27.56952749,29.56345542,25.16266489,24.71224169,28.87816012,26.76435915,24.01075823,16.89018532,11.69271252,8.627343744,6.583033059,4.847865478,3.942081483,2.708780975,2.400476775,1.815807587,1.648827083,1.213606478,1.029278004,0.658250397,0.532627678,0.310237893,0.226794875,0.15646086,0.12728165,0.130362465,0.173501855,0.141732341,0.108927676,0.113264364,0.095308435,0.065409263,0.049793499,0.071080731,0.054751407,0.039206901,0.047593195,0.039168298,0.044134893,0.079171954,0.0734821,0.086438382,0.064971468,0.077108605,0.106587013,0.10505331,0.045342,0.078824641,0.079894208,0.074997718,0.077191601,0.059468569,0.098379313,0.164872895,0.151312903,0.118199805,0.129199099,0.159286522,0.102703014,0.440842211
